Description,Category
"Theft occurred at Metro Station, no police arrived yet.",Police
Illegal construction at Main Road blocking road access.,Development Authority
Stray dogs attacking people near Bus Stand.,Municipal
frequent delays in public buses @ market.,Transport
Illegal hoardings at Bus Stand causing obstruction.,Development Authority
Bus stop shelter at Bus Stand damaged and unsafe. pls do something asap!,Transport
Chain snatching reported yesterday near Colony.,Police
stray dogs @tacking people n park.,Municipal
Public nuisance by drunk people at Hospital.,Police
Encroachment on government land near School.,Development Authority
Chain snatching reported yesterday near School.,Police
Public toilet at Metro Station is dirty and broken.,Municipal
Buses not stopping at Temple despite schedule.,Transport
drainage blocked n market causing flooding.,Public Works Department
Building being constructed without permission near Hospital.,Development Authority
Group of men harassing women near Metro Station.,Police
Traffic signal malfunctioning near Bus Stand.,Transport
Newly constructed footpath at Market already broken.,Public Works Department
"Burglary reported at Bus Stand, no investigation done.",Police
Illegal construction at Bus Stand blocking road access.,Development Authority
assault reported outside bus stand. pls do something asap!,Police
frequent traffic jams n park.,Transport
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near School.,Transport
Open manhole causing danger near Park.,Municipal
"Road divider missing near Main Road, causing accidents.",Transport
"Theft occurred at Park, no police arrived yet.",Police
Grievance No. CM5401 pending without update.,CM Office (Miscellaneous)
Unauthorized shops set up near Highway. pls do something asap!,Development Authority
Stray dogs attacking people near Colony.,Municipal
Stray dogs attacking people near School.,Municipal
"Loud music playing late night at Main Road, no action taken. pls do something asap!",Police
Overhead bridge construction delayed near School.,Public Works Department
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Buses not stopping at Temple despite schedule.,Transport
Bus stop shelter at Market damaged and unsafe.,Transport
Public toilet at Hospital is dirty and broken.,Municipal
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Public nuisance by drunk people at Metro Station.,Police
broken road divider @ bus stand cre@ing risk fr vehicles.,Public Works Department
Drainage blocked near Highway causing flooding.,Public Works Department
"Burglary reported at Hospital, no investigation done.",Police
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Officials not responding to grievance at Main Road.,CM Office (Miscellaneous)
Assault reported outside Highway. pls do something asap!,Police
Land dispute reported at Colony.,Development Authority
Frequent traffic jams near Metro Station.,Transport
Still waiting for action on request raised 7 days ago.,CM Office (Miscellaneous)
Footpath tiles uneven and dangerous near Main Road.,Public Works Department
overhead bridge construction delayed n hospital.,Public Works Department
bus stop shelter @ colony damaged and unsafe. pls do something asap!,Transport
Open manhole causing danger near Highway.,Municipal
traffic signal malfunctioning n hospital.,Transport
Land dispute reported at Main Road.,Development Authority
Still waiting for action on request raised 9 days ago.,CM Office (Miscellaneous)
Open manhole causing danger near Temple. pls do something asap!,Municipal
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Newly constructed footpath at Park already broken.,Public Works Department
Stray dogs attacking people near School.,Municipal
"Loud music playing late night at Bus Stand, no action taken.",Police
Public nuisance by drunk people at Temple.,Police
grievance no. cm3514 pending without upd@e.,CM Office (Miscellaneous)
Newly constructed footpath at Main Road already broken.,Public Works Department
Group of men harassing women near Metro Station.,Police
newly constructed footp@h @ hospital already broken.,Public Works Department
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Main Road.,Transport
Unauthorized shops set up near Hospital.,Development Authority
Public toilet at Main Road is dirty and broken.,Municipal
Stray dogs attacking people near Colony.,Municipal
Building being constructed without permission near Colony.,Development Authority
bus stop shelter @ school damaged and unsafe.,Transport
road @ highway has deep potholes causing accidents.,Public Works Department
Land dispute reported at Hospital.,Development Authority
"loud music playing l@e night @ main road, no action taken.",Police
Road at Hospital has deep potholes causing accidents.,Public Works Department
Building being constructed without permission near Market.,Development Authority
garbage not collected fr 9 days n hospital.,Municipal
Bus stop shelter at Colony damaged and unsafe.,Transport
street repair left incomplete @ highway.,Public Works Department
Newly constructed footpath at Bus Stand already broken.,Public Works Department
"Road divider missing near Main Road, causing accidents.",Transport
Auto drivers overcharging passengers near School.,Transport
Water supply disrupted since 8 days in School.,Municipal
Public nuisance by drunk people at Temple. pls do something asap!,Police
Road at Park has deep potholes causing accidents. pls do something asap!,Public Works Department
Group of men harassing women near Metro Station.,Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Illegal hoardings at Colony causing obstruction.,Development Authority
public nuisance by drunk people @ metro st@ion.,Police
Land dispute reported at Main Road.,Development Authority
Frequent traffic jams near Highway.,Transport
Plot boundaries changed illegally near Bus Stand.,Development Authority
Garbage not collected for 4 days near Colony.,Municipal
Online complaint portal not working for several days.,CM Office (Miscellaneous)
"Loud music playing late night at Market, no action taken.",Police
Land dispute reported at School.,Development Authority
public toilet @ park is dirty and broken.,Municipal
No sanitation workers seen for a week at Main Road.,Municipal
Building being constructed without permission near Bus Stand.,Development Authority
Water supply disrupted since 3 days in Market.,Municipal
Assault reported outside Park.,Police
Filed complaint weeks ago but no response received. pls do something asap!,CM Office (Miscellaneous)
