Description,Category
Complaint regarding layout approval delay.,Development Authority
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Bridge under repair for months at community hall. needs immediate attention.,Public Works Department
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Unauthorized shops operating near signal point. kindly look into this.,Development Authority
Public dustbins overflowing and not cleaned. facing issues since last week.,Municipal
Stray dogs attacking people in Lakeview. facing issues since last week.,Municipal
Broken divider near petrol bunk causing jams. situation getting worse.,Transport
Delay in pension disbursement for seniors. situation getting worse.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near park. kindly look into this.,Municipal
Flyover joints damaged and causing vehicle imbalance. situation getting worse.,Public Works Department
Construction debris dumped near MG Road. situation getting worse.,Development Authority
Police not responding quickly during emergencies. kindly look into this.,Police
Encroachment on public land at main road. please resolve soon.,Development Authority
"Footpath broken near Sector 12, pedestrians facing issues.",Public Works Department
Women feel unsafe walking home after 7 PM. facing issues since last week.,Police
Flyover construction delay leading to congestion. please resolve soon.,Transport
Unauthorized shops operating near junction. facing issues since last week.,Development Authority
Waste dumped on roadside in Sector 12. facing issues since last week.,Municipal
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Drunken men creating disturbance in XYZ Nagar. request urgent action.,Police
Waste dumped on roadside in ABC Colony. kindly look into this.,Municipal
Public dustbins overflowing and not cleaned. kindly look into this.,Municipal
Land encroachment by private party near railway station. kindly look into this.,Development Authority
Streetlights not working since last week in Sector 12. needs immediate attention.,Municipal
Heavy traffic jam at park every morning.,Transport
Theft cases increasing in Central Avenue. Please increase patrolling. please resolve soon.,Police
Theft cases increasing in MG Road. Please increase patrolling. request urgent action.,Police
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Complaint regarding layout approval delay. facing issues since last week.,Development Authority
Unhygienic conditions near market in MG Road. needs immediate attention.,Municipal
Accidents happening due to no speed breakers at railway station. request urgent action.,Transport
Plot disputes not being resolved on time.,Development Authority
Online complaint portal not working for days. request urgent action.,CM Office (Miscellaneous)
Application not processed even after multiple visits. needs immediate attention.,CM Office (Miscellaneous)
Heavy traffic jam at railway station every morning. request urgent action.,Transport
Open manhole in park dangerous for kids. please resolve soon.,Municipal
Loud noise and public nuisance every night around hospital.,Police
Police not responding quickly during emergencies. situation getting worse.,Police
Land encroachment by private party near main road. please resolve soon.,Development Authority
Drainage overflow causing bad smell near park. please resolve soon.,Municipal
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
Fogging not done properly leading to mosquito menace. please resolve soon.,Municipal
Stormwater drain collapsed near city mall. situation getting worse.,Public Works Department
Illegal construction happening on 2nd street. request urgent action.,Development Authority
Land encroachment by private party near school. situation getting worse.,Development Authority
